role,title,channel,url,focus_area,skill_level
tester,How to Write Test Cases for Software Testing,Software Testing Mentor,https://www.youtube.com/watch?v=g0PrXoWKM2Y,manual testing,beginner
tester,Selenium WebDriver Tutorial for Beginners,freeCodeCamp,https://www.youtube.com/watch?v=zucJmZ5XQbs,automation testing,beginner
tester,API Testing using Postman,Automation Step by Step,https://www.youtube.com/watch?v=VywxIQ2ZXw4,API testing,intermediate
tester,Performance Testing with JMeter,The Testing Academy,https://www.youtube.com/watch?v=Jh_BNVZeo4Y,performance testing,intermediate
tester,Testing AI/ML Systems - Challenges & Solutions,EuroSTAR Software Testing,https://www.youtube.com/watch?v=5R5Nt6l0BpI,AI/ML testing,advanced
tester,Manual Testing Interview Questions & Answers,SDET- QA,https://www.youtube.com/watch?v=WjdQEJqX8VU,interview prep,beginner
tester,Robot Framework Tutorial for Beginners,Testers Talk,https://www.youtube.com/watch?v=1S1eh2L_wYQ,automation testing,beginner
tester,Postman API Testing - Full Course,freeCodeCamp,https://www.youtube.com/watch?v=VywxIQ2ZXw4,API testing,intermediate
tester,How to Write SQL Queries for Testing,Software Testing Mentor,https://www.youtube.com/watch?v=5ZQZ6w7jK6E,SQL for testers,intermediate
tester,Automated Testing with Playwright,TestAutomation University,https://www.youtube.com/watch?v=Kwx7HlnBnpU,automation testing,intermediate
tester,Load Testing with Locust,The Testing Academy,https://www.youtube.com/watch?v=7K8O6lzXJqk,performance testing,advanced
tester,Cypress Tutorial for Beginners,Automation Bro,https://www.youtube.com/watch?v=7N63cMKosIE,automation testing,beginner
tester,BDD with Cucumber & Selenium,SDET- QA,https://www.youtube.com/watch?v=DHY-6gK9A6o,BDD testing,intermediate
tester,Mobile App Testing with Appium,Testers Talk,https://www.youtube.com/watch?v=drw6nYVCGmY,mobile testing,intermediate
tester,How to Use JIRA for Test Management,Software Testing Mentor,https://www.youtube.com/watch?v=8KdM9Z6jYJw,test management,beginner
developer,Python for Beginners - Full Course,freeCodeCamp,https://www.youtube.com/watch?v=rfscVS0vtbw,programming,beginner
developer,Git & GitHub Crash Course,Traversy Media,https://www.youtube.com/watch?v=SWYqp7iY_Tc,version control,beginner
developer,Docker Tutorial for Beginners,TechWorld with Nana,https://www.youtube.com/watch?v=3c-iBn73dDE,DevOps,intermediate
developer,System Design for Beginners,Gaurav Sen,https://www.youtube.com/watch?v=quLrc3PbuIw,system design,intermediate
developer,How to Build a Recommendation System,Google Developers,https://www.youtube.com/watch?v=Q2CCHivlQdI,ML/Recommendation,advanced
developer,JavaScript Crash Course for Beginners,Traversy Media,https://www.youtube.com/watch?v=hdI2bqOjy3c,web development,beginner
developer,React.js Full Course for Beginners,freeCodeCamp,https://www.youtube.com/watch?v=4UZrsTqkcW4,frontend development,intermediate
developer,Node.js & Express Crash Course,Traversy Media,https://www.youtube.com/watch?v=L72fhGm1tfE,backend development,intermediate
developer,Microservices Explained in 5 Minutes,IBM Technology,https://www.youtube.com/watch?v=nYr8QH12fqM,architecture,beginner
developer,Python Django Full Course,freeCodeCamp,https://www.youtube.com/watch?v=F5mRW0jo-U4,web development,intermediate
developer,Flutter Tutorial for Beginners,The Net Ninja,https://www.youtube.com/watch?v=1ukSR1GRtMU,mobile development,beginner
developer,How to Deploy a Website to AWS,Academind,https://www.youtube.com/watch?v=Qr4QMBUPxWo,cloud computing,intermediate
developer,SQL Tutorial for Beginners,Programming with Mosh,https://www.youtube.com/watch?v=7S_tz1z_5bA,database,beginner
developer,Machine Learning with Python,freeCodeCamp,https://www.youtube.com/watch?v=ngLyX54e1LU,ML/AI,intermediate
